ID,Date,Time,Description,IP Address,Host Name,MAC Address,User Name, TransactionID, QResult,Probationtime, CorrelationID,Dhcid,VendorClass(Hex),VendorClass(ASCII),UserClass(Hex),UserClass(ASCII),RelayAgentInformation,DnsRegError.
00,03/14/21,18:53:11,Started,,,,,0,6,,,,,,,,,0
55,03/14/21,18:53:17,Authorized(servicing),,,,,0,6,,,,,,,,,0
30,03/14/21,18:53:42,DNS Update Request,192.168.3.3,WINDOWS-SERVER.LAB.LOCAL.br,,,0,6,,,,,,,,,0
30,03/14/21,18:53:42,DNS Update Request,192.168.3.3,WINDOWS-SERVER,,,0,6,,,,,,,,,0
10,03/14/21,18:53:42,Assign,192.168.3.3,WINDOWS-SERVER,000C290EDFB6,,1551371650,0,,,,0x4D53465420352E30,MSFT 5.0,,,,0
31,03/14/21,18:56:13,DNS Update Failed,192.168.3.3,WINDOWS-SERVER,,,0,6,,,,,,,,,2
30,03/14/21,18:56:13,DNS Update Request,192.168.3.3,WINDOWS-SERVER,,,0,6,,,,,,,,,0
12,03/14/21,18:56:13,Release,192.168.3.3,WINDOWS-SERVER,000C290EDFB6,,2364103589,0,,,,,,,,,0
30,03/14/21,18:57:56,DNS Update Request,192.168.3.4,WINDOWS-SERVER,,,0,6,,,,,,,,,0
10,03/14/21,18:57:56,Assign,192.168.3.4,WINDOWS-SERVER,000C290EDFB6,,2323641793,0,,,,0x4D53465420352E30,MSFT 5.0,,,,0
01,03/14/21,18:58:12,Stopped,,,,,0,6,,,,,,,,,0
